orig_name,GID_3
Agusan Pequeno,PHL.2.2.2_1
Ambago,PHL.2.2.3_1
Amparo,PHL.2.2.4_1
Ampayon,PHL.2.2.5_1
Anticala,PHL.2.2.6_1
Antongalon,PHL.2.2.7_1
Aupagan,PHL.2.2.8_1
Baan Km 3,PHL.2.2.9_1
Babag,PHL.2.2.11_1
Bading,PHL.2.2.12_1
Bancasi,PHL.2.2.13_1
Banza,PHL.2.2.14_1
Baobaoan,PHL.2.2.15_1
Basag,PHL.2.2.16_1
Bayanihan,PHL.2.2.17_1
Bilay,PHL.2.2.18_1
Bit-Os,PHL.2.2.19_1
Bitan-Agan,PHL.2.2.20_1
Bobon,PHL.2.2.21_1
Bonbon,PHL.2.2.22_1
Bugsukan,PHL.2.2.24_1
Buhangin,PHL.2.2.25_1
Cabcabon,PHL.2.2.26_1
Camayahan,PHL.2.2.27_1
Dankias,PHL.2.2.29_1
De Oro,PHL.2.2.30_1
Don Francisco,PHL.2.2.32_1
Doongan,PHL.2.2.33_1
Dulag,PHL.2.2.34_1
Dumalagan,PHL.2.2.35_1
Florida,PHL.2.2.36_1
Kinamlutan,PHL.2.2.42_1
Lemon,PHL.2.2.44_1
Libertad,PHL.2.2.46_1
Los Angeles,PHL.2.2.48_1
Lumbocan,PHL.2.2.49_1
Maguinda,PHL.2.2.50_1
Mahay,PHL.2.2.51_1
Mahogany,PHL.2.2.52_1
Maibu,PHL.2.2.53_1
Mandamo,PHL.2.2.54_1
Manila De Bugabus,PHL.2.2.55_1
Manuel J. Santos,PHL.2.2.23_1
Masao,PHL.2.2.57_1
Maug,PHL.2.2.58_1
Nong-Nong,PHL.2.2.60_1
Pagatpatan,PHL.2.2.63_1
Pianing,PHL.2.2.65_1
Pigdaulan,PHL.2.2.66_1
Pinamanculan,PHL.2.2.67_1
Salvacion,PHL.2.2.70_1
San Mateo,PHL.2.2.72_1
San Vicente,PHL.2.2.73_1
Santo Nino,PHL.2.2.74_1
Sumile,PHL.2.2.77_1
Sumilihon,PHL.2.2.78_1
Tagabaca,PHL.2.2.79_1
Taguibo,PHL.2.2.80_1
Taligaman,PHL.2.2.81_1
Tiniwisan,PHL.2.2.83_1
Tungao,PHL.2.2.84_1
Villa Kananga,PHL.2.2.86_1
