Sector,Element,Hazard,Disaster Risk Aspect,Detail
(Barangay),None,None,None,None
Agriculture,Crops,All Hazards,Adaptive Capacity,Adaptive Capacity Score
Agriculture,Crops,All Hazards,Adaptive Capacity,Information_Description_IEC MATERIAL
Agriculture,Crops,All Hazards,Adaptive Capacity,Information_Description_PRIMITIVE EARLY WARNING SYSTEM (BATINGAW; BELL; KAMPANA)
Agriculture,Crops,All Hazards,Adaptive Capacity,Information_Description_RADIO
Agriculture,Crops,All Hazards,Adaptive Capacity,Information_Description_SIGNAGE
Agriculture,Crops,All Hazards,Adaptive Capacity,Information_Description_SOCIAL MEDIA
Agriculture,Crops,All Hazards,Adaptive Capacity,Information_Description_TEXT MESSAGE
Agriculture,Crops,All Hazards,Adaptive Capacity,Information_Description_TV
Agriculture,Crops,All Hazards,Adaptive Capacity,Information_Score
Agriculture,Crops,All Hazards,Adaptive Capacity,Infrastructure_Description_COFFEE MILL
Agriculture,Crops,All Hazards,Adaptive Capacity,Infrastructure_Description_CORN MILL
Agriculture,Crops,All Hazards,Adaptive Capacity,Infrastructure_Description_CORN SHELLER
Agriculture,Crops,All Hazards,Adaptive Capacity,Infrastructure_Description_FLOATING TILLER
Agriculture,Crops,All Hazards,Adaptive Capacity,Infrastructure_Description_FOUR WHEEL DRIVE TRACTOR
Agriculture,Crops,All Hazards,Adaptive Capacity,Infrastructure_Description_HAND TRACTOR
Agriculture,Crops,All Hazards,Adaptive Capacity,Infrastructure_Description_MANUAL THRESHER
Agriculture,Crops,All Hazards,Adaptive Capacity,Infrastructure_Description_MECHANICAL DRYER
Agriculture,Crops,All Hazards,Adaptive Capacity,Infrastructure_Description_MECHANICAL THRESHER
Agriculture,Crops,All Hazards,Adaptive Capacity,Infrastructure_Description_MPDP
Agriculture,Crops,All Hazards,Adaptive Capacity,Infrastructure_Description_REAPER
Agriculture,Crops,All Hazards,Adaptive Capacity,Infrastructure_Description_RICE MILL
Agriculture,Crops,All Hazards,Adaptive Capacity,Infrastructure_Score
Agriculture,Crops,All Hazards,Adaptive Capacity,Institutional(slash)Government Investments_Description_CONTINGENCY PLAN
Agriculture,Crops,All Hazards,Adaptive Capacity,Institutional(slash)Government Investments_Description_DRRMP
Agriculture,Crops,All Hazards,Adaptive Capacity,Institutional(slash)Government Investments_Description_FORCED EVACUATION ORDINANCE
Agriculture,Crops,All Hazards,Adaptive Capacity,Institutional(slash)Government Investments_Score
Agriculture,Crops,All Hazards,Adaptive Capacity,Social_Description_AGRICULTURAL TECHNOLOGIST
Agriculture,Crops,All Hazards,Adaptive Capacity,Social_Description_FA
Agriculture,Crops,All Hazards,Adaptive Capacity,Social_Description_IA
Agriculture,Crops,All Hazards,Adaptive Capacity,Social_Description_LFT
